filename,tokencount,nercount,names,freq
a2fd7483c26e540128351c6cdb0889e8.txt,1937,33,"['George', 'Colfax', 'Indian Colfax', 'George Bush', 'Gtorge', 'Gunns', 'Mica', 'Minty', 'Mr. Bush', 'Young Folks', 'rNear']","[21, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
c62b1af4bc7683a6f9811674959fca4b.txt,478,8,"['Tad', 'Administration Building', 'FROM', 'Registrar', 'Tad Mason', 'Wen']","[3, 1, 1, 1, 1, 1]"
d567ab681c5d821e8d3f3fc84aac7e2f.txt,1546,19,"['Robinson', 'AND', 'BLUE AND', 'CHECKED', 'CORNER', 'DAINTY', 'ELISE SCOTT', 'GINGHAM', 'HOMEMADE', 'HOUSE Good Taste', 'James Robinson', 'Mr.', 'Mr. -Robinson', 'Parti', 'ROBINSON', 'Rooms', 'Simple Furnishings', 'WHITE']","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
618f2300b9ec1a7a8c69fc487eacae2f.txt,4335,103,"['Kelly', 'Galusha', 'Henrietta', 'Corisande', 'Squam', 'Higby', 'KELLY', 'BHPpS', 'Blessings', 'CHUH AND', 'CONTINUED', 'CORISANDE', 'Dislike', 'Dorothy Perkins', 'East', 'FELLOW', 'GARDEN She Was', 'GARDENER', 'GIVE', 'Galushai', 'Garden Pay', 'HAND', 'HIGH AND', 'HPUM', 'HTHE', 'Henriettas', 'Her mouth\x97well', 'Hexometp', 'JfS', 'KGalusha', 'Kelly Failed', 'Kfanciful', 'LADY', 'Lombardy', 'MORE', 'Mak', 'Me', 'Miss', 'Miss Corisande Trask', 'Mr. Higby', 'North', 'TOgtotmoney', 'UIQHTY', 'WHICH', 'WXP', 'amwK', 'seasOn', 'weJUVanythihg', 'whispeK', 'you1']","[20, 19, 8, 5, 4, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
2750a862b1e9b5510f26927c320c7d55.txt,1585,37,"['Helen', 'Bison', 'Kentuck', 'Lassie', 'Pessimist', 'Antelope', 'April', 'Bluebell', 'CONTINOBD', 'Cousin Alf', 'Crissy', 'Cynthia', 'Doone Valley', 'Flat Top Butte', 'Fletchers', 'Hope', 'Jimmy', 'Jimmy Hendricks', 'Leanore', 'Lost Lady', 'Nest', 'Old Mortality', 'Orange', 'Pa', 'Peg', 'Peggy', 'Swiss', 'Wide Wide World']","[5, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
32d7af2479c18f11e649392165ef94c2.txt,3160,102,"['Annie', 'Cal', 'Titus', 'Jeremy', 'Nicodemus', 'Dad', 'Georgia', 'Georgia Tech', 'McWhorter', 'Miss Patten', 'Senator', 'AAA', 'American', 'Annie Rutherford', 'Arkansas', 'Athens', 'Big Sis', 'CAL', 'CALHOUN', 'CaJ', 'Cal Rutherford', 'Jack', 'Lillard', 'Little', 'Little Rock', 'Mary Patten', 'Miss Mary', 'Miss Mary Patten', 'Napoleon', 'Silp', 'TITUS', 'Yellowhammer']","[26, 21, 12, 5, 5, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
7acd30531ef728d831e68b3899cef5c6.txt,2919,50,"['Lesley', 'Susan', 'Barry', 'Dora', 'Graham', 'Mr. Graham', 'Bob', 'Brooke', 'Bunny Cottontail', 'Clark', 'Agnes M. Cboate', 'Brer Fox', 'Father Cottontail', 'God', 'Las Ombras', 'Little Kitten Cat', 'Mother', 'Mother Bunny', 'Mr. Dog', 'Orange Grove', 'Squirrel', 'Susan Clark', 'Taint Dad', 'last.']","[8, 8, 3, 3, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4843e4d3fa5ebeb9f4dff1708bb99c9a.txt,2420,30,"['Christmas', 'John', 'John Loftus', 'American', 'Canada', 'Found', 'German', 'Holy', 'Maude Meredith It', 'Miss Bayster', 'Miss Bayswinter', 'Miss Loftus', 'Mr. Headman', 'Ordinarily John', 'Oster', 'Poor', 'RUTH', 'Santa Claus', 'Sun', 'Teddy', 'WAKER']","[5, 5, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
81d7a7d5510ede5a2785ef3450f4fab2.txt,276,5,"['Dora', 'Emily', 'MalHson', 'Orange Grove', 'Qraham']","[1, 1, 1, 1, 1]"
92e2b9a2322777922461631e0872cdbf.txt,1277,14,"['Jackson', 'Mary Lyle', 'Colorado River', 'FROM', 'Indian']","[8, 3, 1, 1, 1]"
56c28bd2af095a67011339fd9f50d66c.txt,3642,80,"['Eloise', 'Leone', 'Uncle Harry', 'Harry', 'Uncle', 'Louise', 'Prank', 'Verne', 'Frank', 'Louise Creighton', 'Mama', 'CHAPTER II.', 'COURTSHIP', 'Creighton', 'Creighton Grey', 'Eloise Coming', 'Elolso', 'Farmer', 'Franks', 'Grey', 'Henry', 'Henry Otis Richards', 'Imagine Mamsie', 'Royal Highness', 'Step', 'Verne You', 'Williams']","[20, 14, 6, 5, 4, 3, 3, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
c6ad0b82564bed2c6fd223d4f4ee86e9.txt,2390,43,"['Helen', 'Tennessee', 'Joe', 'Peg', 'Crissy', 'Indian Butte', 'Jimmy Hendricks', 'Karinski', 'Pete', 'Brushy Creek', 'Celestia', 'Duty', 'English', 'Flat Top', 'Granny Gudrunsoni', 'Helen Fletcher', 'Hillside', 'Indian', 'Jacob', 'Jimmy', 'Karinskis', 'Love', 'Mighty Ones', 'Patty', 'Pessimist', 'Word']","[5, 5, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
