filename,tokencount,nercount
287b7fed20d3a09f2ee2a5204b913f0e.txt,1056,21
885c32a37cc8a833e5ac1072406b525e.txt,3015,80
60a6fc9b68af57c5d5905a1617a96e9f.txt,247,7
62cf0d60cf3d0ac669af0c686791a585.txt,2241,59
75e8186edb6fd645aab344ddd80fbfa1.txt,3365,31
45552d20c81ca5da52ba1f8a80a10747.txt,2689,82
e684a5640614610d692525dc83704b78.txt,2772,37
32ba6f223b4e2c832c837656d845d65e.txt,2049,49
1109d26b29dbf4b13141d1662d3cbcaf.txt,2330,40
6df8a9b709ff58b63a8cacaab1029142.txt,812,6
3137a3d9aadf9112fce3460bae402220.txt,1270,46
f88cf9460a5313832ef36d36c79bf8d4.txt,4750,119
899f4b0fbff6d5858d71c0fb8c4719a3.txt,2834,54
ddadcda1a688d926f30493634efbfa80.txt,2636,26
14cb42889c44c9f6857f87da0ddfd441.txt,2802,42
8db535d0d30291b72c480cb5433fe202.txt,3259,58
6be949d91cb4359d1c323c25b6bbb3d6.txt,485,13
c6f9500d07fe1898ed41811f3809dab9.txt,1485,44
62cd7acea93c881370a850037cf22fbe.txt,1723,33
9f5c92e81f3e6280f4aae85027544a2e.txt,2826,54
7c3f96ae7da4835274f0d58070d309f4.txt,4778,159
5572e4a1171b046e7f4b433f03f5d585.txt,2711,48
29f31ae66e7007b8d71c0bd53269cc2f.txt,1288,17
265ed25c5131db60b98a7dc06b0e7dbd.txt,4257,40
ec0673dbfed3def78780ce41f43bb64f.txt,525,8
1429248faec70c869ae1b733e5e764ef.txt,1284,31
92fb5be1ed1d5de082882882b034bef4.txt,2955,79
ce3083404ea519e2631689bdb4db2d37.txt,174,5
3a94e62ca732273a6239f2c5246324a3.txt,1736,24
bb74cbba6b66163ea1c7c2a3de70223f.txt,2711,15
e89335a614f7cdba213199faef9fc335.txt,4416,65
b8d85ab6ed83f832fe6a15f8a959d3ee.txt,4568,54
15e8bfdc6cd18a5aff4f0f2fb9b66dc2.txt,2292,28
a9997b59a76120312ad65565778364e3.txt,2082,37
e6f35f9ab7809e9e579591b065275f6f.txt,3335,18
ed82b8c114ebac127d99f6e81ddd981e.txt,3437,53
8fd9f897cc6a9cc374a1448d9ea7db96.txt,1234,31
7cbf0708c73d5436e4c421c275279698.txt,2365,69
cd9cb45d65a52c346f19505785f1c6fc.txt,3414,136
7d1730aec96c5566984a85d3c0e29145.txt,526,15
a5ad50fdfde38c55095dd577710988b1.txt,1913,23
68400e8f7d766b63b62fef6bf4240279.txt,452,15
6d64541d73b2e6772768004f98227b62.txt,1336,51
3debfaaeaf8c2ba0d2454cfeefe2d1ae.txt,2858,85
0da41ac89780884b4e0102eeaabd4f48.txt,1768,74
8e7f43277905bf7a342730ba80ba71b1.txt,4045,89
36b7a4c270f64ff867e4024d907753cf.txt,278,16
c7b10fba0f2231cf319ccae13470e970.txt,1634,10
44d61572eabd89626cdea3ab75d56e73.txt,2755,14
bfc13c59e1add9616e27d76543926449.txt,2390,34
4f2bff6d3c5602242a47be3c88501b6c.txt,450,21
55c3c264935ec2abc7c1de1a0034fa44.txt,2302,26
8d347c5d07d11198b32a7ec74d9dfc3f.txt,1568,23
52c2d4f9034c307a6bb2c70c28b60983.txt,2749,42
3a7ef363a63d422ade47d0aaa6dd7ce0.txt,2152,35
45bb7d8f9c868467f6afac6083ee2fcd.txt,5164,125
ed0b9bb447727ab53e140132f395b1b0.txt,1987,36
3fcb739c48a2db50691525bc7972d2bf.txt,6177,141
f4eba5ac7c787eb519126ea286c40895.txt,1078,30
236393caee049073bc79f837a9fe8fe3.txt,311,12
ba64d1d36d591e146bed1304b2d90e2e.txt,513,21
f158838abb7d0b58b3d1b92d85b81b44.txt,2216,41
e7915fd951d233d57f62a15daa62e7f6.txt,718,24
d19ce6da6485034fd429d8cddedf51ab.txt,632,14
4e377415456a269f2fb36737de58fc94.txt,3583,104
a7dab3923f43a4f9ae5fda548ad8882e.txt,1624,29
949f56a03f9c2df274ee424ef8ee61ae.txt,1168,22
d70a382f2851e488b36daf131752332c.txt,1820,34
9c26e39b6dd1561ce8a83964c0103fb8.txt,882,32
1b9da16acb03ad5e89c8881fc469b97f.txt,1406,33
e4de92d6ebc5e0b876890f42b7327370.txt,1252,14
ca5f94bd9986779bafbb106dee7c04c8.txt,3163,36
0bcb5705693cd38a5bae7cb3b6686aaa.txt,522,12
120ffbfecedb243cb8d440499f336f1c.txt,2216,59
